MEF630	생산가공시스템	3	2	2	1	01	N	10T	10T	10T	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 4                             	이해성	월/05A	월/05B	월/06A	월/06B	목/06A	목/06B	목/07A	목/07B	 	 	 	 	 	 	 	 
MEE440	생산공학	3	3	0	0	01	N	8	8	8	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 3                             	박성제	화/01A	화/01B	화/02A	화/02B	수/05A	수/05B	 	 	 	 	 	 	 	 	 	 
MEH300	시스템동역학	3	3	0	0	01	Y	10	10	10	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 4                             	이고르	월/08A	월/08B	월/09A	월/09B	수/05A	수/05B	 	 	 	 	 	 	 	 	 	 
MEE800	에너지변환공학	3	2	2	1	01	N	10	10	10	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 4                             	박일환	월/01A	월/01B	월/02A	월/02B	화/05A	화/05B	화/06A	화/06B	 	 	 	 	 	 	 	 
MEC402	열유체공학실험	2	1	2	0	01	N	10	10	10	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 3                             	이정훈	목/07A	목/07B	목/08A	목/08B	목/09A	목/09B	 	 	 	 	 	 	 	 	 	 
MEE822	열유체시스템	3	2	2	1	01	Y	10	10	10	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 3                             	박승경	월/08A	월/08B	월/09A	월/09B	목/01A	목/01B	목/02A	목/02B	 	 	 	 	 	 	 	 
MEB341	유체역학	3	3	0	0	01	N	12T	12T	12T	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 2                             	정경석	월/01A	월/01B	월/02A	월/02B	목/02A	목/02B	 	 	 	 	 	 	 	 	 	 
MEB341	유체역학	3	3	0	0	02	N	12T	12T	12T	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 2                             	정경석	화/03A	화/03B	화/04A	화/04B	목/05A	목/05B	 	 	 	 	 	 	 	 	 	 
MEB341	유체역학	3	3	0	0	03	N	12T	12T	12T	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 2                             	이정훈	월/01A	월/01B	월/02A	월/02B	목/02A	목/02B	 	 	 	 	 	 	 	 	 	 
MEB341	유체역학	3	3	0	0	04	N	12T	12T	12T	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 2                             	박승경	화/05A	화/05B	목/08A	목/08B	목/09A	목/09B	 	 	 	 	 	 	 	 	 	 
MEB341	유체역학	3	3	0	0	05	N	12T	12T	12T	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 2                             	박승경	화/06A	화/06B	목/06A	목/06B	목/07A	목/07B	 	 	 	 	 	 	 	 	 	 
MEC201	응용CAD실습	2	1	2	0	01	N	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 1                             	국정한	화/07A	화/07B	화/08A	화/08B	화/09A	화/09B	 	 	 	 	 	 	 	 	 	 
MEC201	응용CAD실습	2	1	2	0	02	N	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 1                             	국정한	수/01A	수/01B	수/02A	수/02B	수/03A	수/03B	 	 	 	 	 	 	 	 	 	 
MEC201	응용CAD실습	2	1	2	0	03	N	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 1                             	유승열	화/07A	화/07B	화/08A	화/08B	화/09A	화/09B	 	 	 	 	 	 	 	 	 	 
MEC201	응용CAD실습	2	1	2	0	04	N	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 1                             	박성제	수/01A	수/01B	수/02A	수/02B	수/03A	수/03B	 	 	 	 	 	 	 	 	 	 
MEC201	응용CAD실습	2	1	2	0	05	N	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 1                             	함종석	수/01A	수/01B	수/02A	수/02B	수/03A	수/03B	 	 	 	 	 	 	 	 	 	 
MEC340	응용CAM실습	2	1	2	0	01	N	12S	12S	12S	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 2                             	최성주	월/05A	월/05B	월/06A	월/06B	월/07A	월/07B	 	 	 	 	 	 	 	 	 	 
MEC340	응용CAM실습	2	1	2	0	02	N	12S	12S	12S	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 2                             	최성주	화/07A	화/07B	화/08A	화/08B	화/09A	화/09B	 	 	 	 	 	 	 	 	 	 
MEC412	응용역학실험	2	1	2	0	01	Y	10	10	10	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 3                             	이광주	월/05A	월/05B	월/06A	월/06B	월/07A	월/07B	 	 	 	 	 	 	 	 	 	 
MEC412	응용역학실험	2	1	2	0	02	N	10	10	10	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 3                             	이광주	화/05A	화/05B	화/06A	화/06B	화/07A	화/07B	 	 	 	 	 	 	 	 	 	 
MEH341	응용제어공학	3	2	2	1	01	Y	10	10	10	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 3                             	신동호	화/08A	화/08B	화/09A	화/09B	목/05A	목/05B	목/06A	목/06B	 	 	 	 	 	 	 	 
MEH341	응용제어공학	3	2	2	1	02	N	10	10	10	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 3                             	유승한	수/01A	수/01B	수/02A	수/02B	목/08A	목/08B	목/09A	목/09B	 	 	 	 	 	 	 	 
MEB510	재료거동학	3	2	2	1	01	N	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	기계 3                             	양승용	화/03A	화/03B	화/04A	화/04B	목/03A	목/03B	목/04A	목/04B	 	 	 	 	 	 	 	 
